age,sex,max_boulder,max_sport,exp,trainexp,season,days,height,weight,span,pullup,pushup,continuous,maxhang,weightedpull,repeaters1,longcamp,shortcamp,ohpr,ohll,dl,bmi_score,strength_to_weight_pullup,strength_to_weight_weightpull,strength_to_weight_maxhang,max_boulder_numeric,max_sport_french,max_sport_numeric
40,1,V7,5.12a/b,5-6 years,3-4 years,1-3 months,10,182.88,88.45051215000001,190.5,10.0,25.0,34.0,18.143694800000002,29.48350405,67.0,51.0,81.0,,,,26.4,0.11305757035121926,1.3333333333333333,1.205128205128205,6.0,Unknown,
31,1,V10,5.12a/b,>10 years,1-2 years,1-3 months,25,175.26,73.48196394,177.8,22.0,37.0,63.0,43.09127515,47.62719885,94.0,,,,,,23.9,0.2993931955597103,1.6481481481481481,1.5864197530864197,9.0,Unknown,
38,1,I have not pursued bouldering goals outside in the past year,5.11a/b,3-4 years,<1 year,7-9 months,30,175.26,71.21400209000001,,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,23.2,0.0,1.0,1.0,,Unknown,
34,2,V5,I have not pursued sport climbing goals outside in the past year,5-6 years,1-2 years,4-6 months,30,170.18,67.58526313,180.34,11.0,18.0,31.0,36.287389600000004,24.947580350000003,150.0,,,,,,23.3,0.1627573747673593,1.3691275167785235,1.5369127516778522,4.0,Unknown,
40,2,<V3,5.10c/d,1-2 years,<1 year,4-6 months,15,160.02,53.97749203,165.1,3.0,8.0,10.0,0.0,0.45359237,66.0,,,9.071847400000001,6.80388555,27.2155422,21.1,0.05557872155921283,1.0084033613445378,1.0,1.0,Unknown,
30,1,V4,5.11c/d,5-6 years,1-2 years,4-6 months,25,175.26,72.57477920000001,185.42000000000002,9.0,17.0,31.0,18.143694800000002,24.947580350000003,68.0,,,24.947580350000003,20.41165665,115.66605435000001,23.6,0.12401002247899362,1.34375,1.25,3.0,Unknown,
27,2,V5,5.12a/b,>10 years,9-10 years,Year round,35,170.18,63.502931800000006,172.72,8.0,25.0,31.0,14.06136347,14.06136347,91.0,93.0,110.0,12.24699399,11.33980925,72.57477920000001,21.9,0.12597843553421575,1.2214285714285713,1.2214285714285713,4.0,Unknown,
37,2,I have not pursued bouldering goals outside in the past year,5.12c/d,9-10 years,<1 year,4-6 months,90,175.26,68.0388555,182.88,3.0,8.0,10.0,0.0,4.535923700000001,4.0,63.0,57.0,,,,22.1,0.044092452436975516,1.0666666666666667,1.0,,Unknown,
25,1,V13,5.14a/b,>10 years,3-4 years,Year round,100,180.34,71.66759446,190.5,16.0,15.0,54.0,45.359237,56.69904625,206.0,127.74,180.05,,,,22.0,0.22325292373152159,1.7911392405063291,1.6329113924050633,12.0,Unknown,
25,1,I have not pursued bouldering goals outside in the past year,5.12a/b,1-2 years,1-2 years,1-3 months,28,176.53,71.21400209000001,177.8,13.0,19.0,41.0,24.947580350000003,40.8233133,110.0,,,22.6796185,22.6796185,149.6854821,22.8,0.18254836996200052,1.573248407643312,1.3503184713375798,,Unknown,
