sex,height,weight,exp,max_boulder,max_sport,days,maxhang,pullup,weightedpull,max_boulder_numeric,max_sport_numeric,strength_to_weight_pullup,strength_to_weight_weightpull,strength_to_weight_maxhang,pushup,bmi_score,max_sport_french,ohll,trainexp,longcamp,ohpr,age,dl,shortcamp,span,continuous,season,repeaters1
1,178.0,75.0,2,V4,6c,8,0.0,7,0.0,3.0,9.0,0.09333333333333334,1.0,1.0,,,,,,,,,,,,,,
1,185.0,82.0,1,V5,0,8,0.0,15,0.0,4.0,0.0,0.18292682926829268,1.0,1.0,,,,,,,,,,,,,,
1,178.0,72.0,2,V6,7a+,16,25.0,0,25.0,5.0,12.0,0.0,1.3472222222222223,1.3472222222222223,,,,,,,,,,,,,,
1,179.0,82.0,2,V5,0,16,0.0,9,5.0,4.0,0.0,0.10975609756097561,1.0609756097560976,1.0,,,,,,,,,,,,,,
1,185.3,87.0,0,V5,7a+,12,17.0,14,20.0,4.0,12.0,0.16091954022988506,1.2298850574712643,1.1954022988505748,,,,,,,,,,,,,,
1,178.0,68.0,1,V5,6c,12,10.0,12,0.0,4.0,9.0,0.17647058823529413,1.0,1.1470588235294117,,,,,,,,,,,,,,
1,172.0,65.7,6,V9,7c+,16,21.0,25,70.0,8.0,16.0,0.380517503805175,2.06544901065449,1.3196347031963471,,,,,,,,,,,,,,
1,182.0,70.0,5,V7,0,12,0.0,25,0.0,6.0,0.0,0.35714285714285715,1.0,1.0,,,,,,,,,,,,,,
1,170.0,68.0,1,V4,6b,4,0.0,6,0.0,3.0,7.0,0.08823529411764706,1.0,1.0,,,,,,,,,,,,,,
1,192.0,75.0,1,V6,0,12,0.0,15,25.0,5.0,0.0,0.2,1.3333333333333333,1.0,,,,,,,,,,,,,,
2,160.0,45.0,4,V8,7c+,16,0.0,20,20.0,7.0,16.0,0.4444444444444444,1.4444444444444444,1.0,,,,,,,,,,,,,,
1,173.0,61.235,2,V5,8a,12,0.0,0,0.0,4.0,17.0,0.0,1.0,1.0,,,,,,,,,,,,,,
1,178.0,70.0,15,V12,8a+,12,45.0,30,45.0,11.0,18.0,0.42857142857142855,1.6428571428571428,1.6428571428571428,,,,,,,,,,,,,,
2,172.0,62.0,15,V5,7b,12,0.0,0,0.0,4.0,13.0,0.0,1.0,1.0,,,,,,,,,,,,,,
1,170.0,65.0,3,V10,7b,12,40.0,20,25.0,9.0,13.0,0.3076923076923077,1.3846153846153846,1.6153846153846154,,,,,,,,,,,,,,
1,173.0,73.0,1,V5,0,12,7.5,9,15.0,4.0,0.0,0.1232876712328767,1.2054794520547945,1.1027397260273972,,,,,,,,,,,,,,
