,age,sex,max_boulder_numeric,max_sport_numeric,exp,trainexp,season,days,height,weight,span,pullup,pushup,continuous,maxhang,weightedpull,repeaters1,longcamp,ohpr,ohll,dl,shortcamp,bmi_score,strength_to_weight_pullup,strength_to_weight_weightpull,strength_to_weight_maxhang,age_group
132,25.0,2.0,7.0,13.0,4.0,1.0,4.0,6.25,165.1,48.98797596,165.1,6.0,12.0,42.0,13.6077711,11.33980925,116.0,74.486,14.06136347,13.607771100000003,74.38914868000002,117.676,18.0,0.12247903454715421,1.2314814814814816,1.277777777777778,20-29
133,26.0,2.0,3.0,7.0,4.0,1.0,2.0,1.6666666666666667,172.72,63.502931800000006,167.64000000000001,9.0,20.0,3.0,0.0,11.33980925,24.0,48.2,12.70058636,12.020197805,68.49244787,72.0,21.3,0.14172573997599272,1.1785714285714284,1.0,20-29
134,36.0,2.0,0.0,9.0,7.0,3.0,3.0,5.833333333333333,177.8,74.38914868,177.8,4.0,22.0,26.0,16.329325320000002,3.17514659,36.0,95.8,18.234413274,18.234413274,73.11909004399999,160.6,23.5,0.05377128345972623,1.0426829268292683,1.2195121951219514,30-39
135,43.0,1.0,0.0,13.0,7.0,5.0,3.0,3.3333333333333335,177.8,76.65711053,182.88,25.0,39.0,46.0,18.143694800000002,54.4310844,155.0,132.8,27.2155422,27.2155422,133.80974915000002,194.4,24.2,0.3261276067823633,1.710059171597633,1.2366863905325445,40-49
136,34.0,1.0,11.0,13.0,7.0,7.0,4.0,7.083333333333333,175.26,65.77089365,185.42000000000002,24.0,31.0,60.0,33.11224301,36.287389600000004,250.0,118.6,18.59728717,20.86524902,128.09448528800002,178.2,21.4,0.36490305465083184,1.5517241379310347,1.5034482758620689,30-39
137,26.0,2.0,5.0,9.0,5.0,2.0,3.0,3.3333333333333335,158.75,47.62719885,156.845,11.0,29.0,39.0,22.770336974000003,21.409559864000006,105.0,86.0,13.063460256000003,12.972741782000003,100.69750614,122.4,18.9,0.23096046514606222,1.428344828142682,1.4519452592904891,20-29
138,35.0,1.0,7.0,11.0,7.0,4.0,4.0,2.5,182.88,77.1107029,190.5,15.0,29.0,60.0,49.895160700000005,31.751465900000003,138.0,106.0,25.038298824,23.677521714,119.47623025800002,172.6,23.1,0.1945255254572449,1.4117647058823528,1.6470588235294117,30-39
139,27.0,1.0,7.0,9.0,4.0,3.0,2.0,3.3333333333333335,177.8,79.37866475,185.42000000000002,19.0,31.0,36.0,42.63768278,42.63768278,138.0,80.0,26.761949830000002,24.947580350000003,104.77983747,119.0,25.1,0.23935902751500995,1.5371428571428571,1.5371428571428571,20-29
140,21.0,1.0,4.0,9.0,3.0,2.0,2.0,3.3333333333333335,180.34,74.84274105,175.26,17.0,40.0,45.0,27.2155422,38.55535145,57.0,67.8,21.228122916,21.228122916,131.5417873,81.4,23.0,0.22714293679654055,1.5151515151515151,1.3636363636363638,20-29
141,33.0,2.0,3.0,3.0,5.0,2.0,4.0,12.5,157.48,49.895160700000005,160.02,4.0,10.0,37.0,9.071847400000001,4.082331330000001,60.0,90.4,12.70058636,12.3014250744,61.960717742,198.2,20.1,0.08016809533995548,1.0818181818181818,1.1818181818181819,30-39
142,25.0,1.0,3.0,5.0,6.0,1.0,1.0,0.8333333333333334,168.91,64.86370891,175.26,13.0,29.0,35.0,30.209251842000004,32.29577674400001,128.8,64.4,15.149985158000002,14.514955839999999,79.37866475000001,98.2,22.7,0.2004202383498887,1.4893329193855511,1.460318905371537,20-29
143,31.0,1.0,0.0,4.0,3.0,2.0,4.0,2.5,179.07,71.66759446,182.88,11.0,34.0,27.0,10.43262451,24.947580350000003,5.0,122.8,23.133210870000003,23.133210870000003,120.20197805000001,177.2,22.3,0.1534863850654211,1.3481012658227849,1.1455696202531644,30-39
144,19.0,1.0,8.0,7.0,4.0,2.0,4.0,4.0,172.72,64.41011654,177.8,25.0,25.0,60.0,38.55535145,45.359237,7.0,20.0,11.33980925,11.33980925,45.359237,30.0,21.6,0.38813778553675626,1.704225352112676,1.5985915492957747,Under 20
145,25.0,1.0,6.0,11.0,5.0,2.0,3.0,6.666666666666667,190.5,77.1107029,198.12,10.0,25.0,23.6,18.143694800000002,20.41165665,85.0,56.6,20.41165665,20.41165665,115.66605435000001,70.8,21.2,0.12968368363816327,1.2647058823529411,1.2352941176470589,20-29
146,34.0,1.0,1.0,5.0,3.0,2.0,1.8,2.716666666666667,178.054,66.67807839000001,145.796,11.0,15.0,27.8,9.52543977,19.50447191,60.0,89.4,15.42214058,14.514955840000002,81.6466266,147.2,21.0,0.16497176081861586,1.292517006802721,1.142857142857143,30-39
147,30.0,1.0,10.0,17.0,6.0,6.0,3.0,5.583333333333333,182.88,77.1107029,190.5,26.0,45.0,70.0,52.163122550000004,52.163122550000004,170.0,119.8,28.12272694,28.12272694,158.7573295,241.0,23.1,0.3371775774592245,1.676470588235294,1.676470588235294,30-39
148,24.0,1.0,0.0,5.0,2.0,2.0,3.0,0.6666666666666666,180.34,70.30681735,180.34,12.0,19.2,31.6,14.51495584,20.41165665,85.0,78.6,16.057169898,15.875732950000003,80.28584949,121.6,21.6,0.17068046104635684,1.2903225806451613,1.206451612903226,20-29
149,33.0,1.0,0.0,7.0,3.0,3.0,2.0,2.3333333333333335,184.023,73.93555631000001,184.023,9.0,16.0,18.0,3.17514659,30.84428116,3.0,78.0,18.325131748,17.871539378,102.14900172400002,128.2,21.8,0.121727629427233,1.4171779141104295,1.0429447852760736,30-39
