strength_to_weight_pullup,strength_to_weight_maxhang,strength_to_weight_weightpull,exp,continuous,repeaters1,max_boulder_numeric
0.1410958477983216,1.24,1.28,5.0,40.0,113.0,1.0
0.2449580690943084,1.5555555555555556,1.5185185185185186,6.0,45.0,180.0,9.0
0.1706804610463568,1.3483870967741935,1.3483870967741935,7.0,56.0,98.0,6.0
0.2805883336898441,1.590909090909091,1.6363636363636362,5.0,65.0,152.6,9.0
0.1515678052521033,1.25,1.21875,7.0,21.0,62.0,6.0
0.2305487709122902,1.6862745098039216,1.5228758169934642,4.0,64.0,120.0,8.0
0.1924111831703531,1.3905194805194805,1.4923129251700682,7.0,50.8,119.2,4.0
0.1514626228751067,1.1908396946564883,1.267175572519084,5.0,18.0,50.0,7.0
0.1564570892924937,1.2580645161290325,1.3548387096774193,4.0,30.0,62.0,5.0
0.2887005814325777,1.505952380952381,1.5952380952380951,7.0,72.0,204.0,5.0
0.1827035321974123,1.3591160220994476,1.3038674033149171,7.0,48.0,110.0,8.0
0.1870588891265628,1.5636363636363635,1.4242424242424243,4.0,58.0,102.0,8.0
0.2280644091567699,1.482758620689655,1.482758620689655,7.0,57.0,183.0,8.0
0.2493323203281353,1.6428571428571428,1.6547619047619049,6.0,82.0,204.0,11.0
0.1837185518207313,1.2916666666666667,1.3666666666666667,5.0,20.0,79.8,4.0
0.2204622621848775,1.2083333333333333,1.4166666666666667,7.0,38.0,84.0,7.0
0.1876274571786192,1.4044931809637693,1.4533319940146905,7.0,46.0,126.0,8.0
0.1695863555268289,1.5384615384615383,1.5384615384615383,4.0,43.0,161.0,8.0
0.2066833707983227,1.3125,1.6249999999999998,6.0,30.0,156.0,9.0
0.205764778039219,1.48,1.5133333333333334,3.0,41.0,100.0,4.0
0.3936826110444242,1.4910714285714286,1.7142857142857144,5.0,49.0,143.0,11.0
0.0816526896981028,1.0462962962962965,1.138888888888889,3.0,15.0,37.0,4.0
0.1240100224789936,1.03125,1.3375,4.0,14.0,76.0,3.0
0.2286275311546878,1.542618484641432,1.5555555555555556,7.0,11.0,40.0,9.0
0.1813930005318613,1.4873417721518989,1.6582278481012658,3.0,36.0,87.0,4.0
0.2964198483158017,1.084033613445378,1.5882352941176472,1.0000000000000004,18.0,120.0,4.0
0.304586020123844,1.888157894736842,1.5921052631578947,7.0,78.0,170.0,11.0
0.1870588891265628,1.303030303030303,1.484848484848485,4.0,32.0,45.0,7.0
0.3255147495347186,1.8389261744966443,1.906040268456376,7.0,65.0,153.0,11.0
0.2688564172986312,1.548780487804878,1.7621951219512195,3.0,60.0,116.0,4.0
0.1978507481146337,1.3717948717948718,1.4166666666666667,4.0,47.2,120.0,5.0
0.2028793823787216,1.3987730061349692,1.49079754601227,7.0,50.0,125.0,7.0
0.1787531855553061,1.391891891891892,1.337837837837838,7.0,64.0,195.0,5.0
