,age,sex,max_boulder_numeric,max_sport_numeric,exp,trainexp,season,days,height,weight,span,pullup,pushup,continuous,maxhang,weightedpull,repeaters1,longcamp,ohpr,ohll,dl,shortcamp,bmi_score,strength_to_weight_pullup,strength_to_weight_weightpull,strength_to_weight_maxhang
448,30.0,1.0,5.0,0.0,3.0,2.0,3.0,1.25,182.88,74.84274105,182.88,17.0,50.0,15.0,13.6077711,34.01942775,40.0,79.2,22.770336974,22.770336974,124.73790175,100.0,22.4,0.22714293679654055,1.4545454545454546,1.1818181818181819
449,24.0,1.0,8.0,11.0,7.0,7.0,4.0,2.5,183.9976,79.83225712000001,186.00420000000003,23.0,40.0,80.0,71.66759446,53.97749203,120.0,50.0,9.071847400000001,9.071847400000001,59.874192840000006,150.0,23.6,0.288104092627965,1.6761363636363638,1.8977272727272727
450,34.0,1.0,7.0,13.0,4.0,2.0,4.0,5.0,170.942,63.95652417,172.72,20.0,60.0,70.0,18.143694800000002,18.143694800000002,252.0,15.0,19.958064280000002,19.958064280000002,39.916128560000004,15.0,21.9,0.31271242863103205,1.2836879432624113,1.2836879432624113
451,28.0,1.0,6.0,11.0,5.0,2.0,4.0,11.666666666666666,180.34,74.84274105,187.96,12.0,19.0,33.0,15.875732950000002,24.947580350000003,84.0,67.0,21.409559864000002,20.502375124000004,107.50139168999999,98.0,23.0,0.16033619067991098,1.3333333333333335,1.2121212121212122
452,34.0,1.0,9.0,11.0,7.0,4.0,2.0,5.0,167.64000000000001,61.23496995,162.56,22.0,50.0,60.0,47.62719885,49.895160700000005,280.0,175.0,23.586803240000002,23.586803240000002,127.00586360000001,163.0,21.8,0.35927183467165236,1.814814814814815,1.777777777777778
453,27.0,2.0,7.0,0.0,7.0,2.0,2.0,2.0833333333333335,170.18,61.23496995,170.18,12.0,18.0,35.0,24.947580350000003,22.6796185,186.0,71.0,13.6077711,13.6077711,74.84274105,50.0,21.1,0.19596645527544673,1.3703703703703702,1.4074074074074074
454,37.0,2.0,4.0,5.0,6.0,2.0,2.0,1.0,157.48,53.523899660000005,157.48,8.0,8.0,21.0,6.80388555,20.86524902,150.0,113.4,15.603577528000002,15.240703632,71.21400209000001,226.8,21.6,0.14946594046432377,1.3898305084745763,1.1271186440677965
455,35.0,1.0,5.0,13.0,7.0,3.0,3.0,2.0833333333333335,170.18,62.142154690000005,168.91,16.0,34.0,46.0,29.48350405,34.01942775,179.0,130.0,22.22602613,22.679618500000004,118.84120094,218.8,21.5,0.25747417481445556,1.5474452554744524,1.4744525547445255
456,39.0,1.0,7.0,15.0,7.0,4.0,3.0,3.3333333333333335,161.29,61.23496995,170.18,18.0,35.0,50.0,31.751465900000003,49.895160700000005,120.0,132.0,19.958064280000002,19.958064280000002,92.98643585,149.0,23.5,0.2939496829131701,1.814814814814815,1.5185185185185186
457,51.0,1.0,3.0,9.0,8.0,4.0,4.0,4.166666666666667,177.8,75.29633342000001,181.61,10.0,16.0,30.0,20.41165665,28.12272694,120.0,92.8,26.036202038,26.489794408,121.925629056,145.6,23.8,0.1328085916776371,1.3734939759036142,1.2710843373493976
