,age,sex,exp,trainexp,season,days,height,weight,span,pullup,pushup,continuous,maxhang,weightedpull,repeaters1,longcamp,shortcamp,ohpr,ohll,dl,bmi_score,strength_to_weight_pullup,strength_to_weight_weightpull,strength_to_weight_maxhang,max_sport_numeric,max_boulder_numeric
241,28.0,1.0,3.0,2.0,2.0,2.0833333333333335,175.26,76.20351816,184.15,19.0,40.0,52.0,35.153408675,52.163122550000004,135.0,86.6,122.8,23.768240188,22.951773922000005,102.05828325,24.8,0.24933232032813535,1.6845238095238098,1.4613095238095237,0.0,7.0
242,32.0,1.0,5.0,2.0,4.0,4.166666666666667,167.64000000000001,68.0388555,170.18,24.0,50.0,45.0,29.48350405,49.895160700000005,155.0,140.2,203.4,24.947580350000003,24.947580350000003,117.9340162,24.2,0.3527396194958041,1.7333333333333334,1.4333333333333336,9.0,7.0
243,25.0,1.0,5.0,3.0,3.0,5.833333333333333,170.18,67.13167076,167.64000000000001,25.0,50.0,70.0,56.69904625,42.18409041,20.0,15.0,60.0,19.05087954,19.05087954,113.3980925,23.2,0.3724024699068878,1.6283783783783783,1.8445945945945945,9.0,9.0
244,46.0,1.0,5.0,1.0,2.0,1.6666666666666667,182.88,73.02837157,187.96,20.0,33.0,40.0,29.48350405,43.09127515,113.0,134.0,213.0,23.858958662,22.498181552,144.24237366,21.8,0.27386616420481685,1.5900621118012421,1.4037267080745341,0.0,6.0
245,27.0,1.0,7.0,7.0,3.0,2.5,177.8,63.502931800000006,187.96,20.0,28.0,67.0,50.34875307,50.34875307,160.0,92.4,174.4,24.947580350000003,24.493987980000004,142.42800418000002,20.1,0.3149460888355394,1.792857142857143,1.792857142857143,17.0,9.0
246,28.0,1.0,5.0,4.0,2.0,2.5,172.72,66.67807839000001,175.26,17.0,27.0,48.0,27.2155422,38.55535145,94.0,71.8,119.0,24.04039561,24.04039561,129.27382545,22.3,0.25495635762876995,1.5782312925170068,1.4081632653061225,9.0,5.0
247,29.0,1.0,5.0,2.0,2.0,1.6666666666666667,406.4,74.84274105,403.86,18.0,34.0,40.0,23.586803240000002,28.12272694,69.0,89.2,135.8,25.582609668,25.129017298,131.5417873,4.5,0.24050428601986645,1.3757575757575757,1.3151515151515152,0.0,7.0
248,32.0,1.0,5.0,4.0,3.0,4.583333333333333,193.04,77.1107029,193.04,21.0,35.0,52.0,37.19457434,47.62719885,235.0,128.0,234.6,23.496084766000003,23.949677136000002,150.59266684,20.7,0.27233573564014285,1.6176470588235294,1.4823529411764707,13.0,8.0
249,41.0,1.0,3.0,2.0,3.0,2.5,180.34,91.62565874,185.42000000000002,7.0,330.0,17.0,20.86524902,29.937096420000003,45.0,108.4,201.4,29.93709642,29.483504050000004,146.87320940600003,28.2,0.07639781362842292,1.3267326732673268,1.2277227722772277,0.0,4.0
250,26.0,1.0,2.0,1.0,2.0,3.3333333333333335,182.88,71.66759446,182.88,26.0,41.0,20.8,6.80388555,57.152638620000005,47.4,80.0,129.8,28.304163888000005,28.304163887999998,127.45945597,21.4,0.3627860010637226,1.7974683544303798,1.0949367088607596,0.0,4.0
251,22.0,1.0,3.0,1.0,3.0,2.5,190.5,82.10021897,177.8,30.0,40.0,20.0,13.6077711,52.163122550000004,63.0,60.0,120.0,25.764046616,25.764046616,128.82023308000004,22.6,0.36540706439482473,1.6353591160220995,1.1657458563535912,0.0,0.0
252,22.0,1.0,3.0,2.0,2.0,2.5,175.26,68.0388555,175.26,18.0,35.0,35.0,36.287389600000004,45.359237,80.0,68.8,86.0,22.6796185,22.6796185,56.69904625,22.1,0.2645547146218531,1.6666666666666665,1.5333333333333332,11.0,8.0
253,30.0,1.0,5.0,2.0,2.0,2.9166666666666665,177.8,69.85322498000001,172.72,14.0,70.0,40.0,26.30835746,34.01942775,113.2,103.4,166.4,25.40117272,24.947580350000003,121.018444316,22.1,0.2004202383498887,1.487012987012987,1.3766233766233766,0.0,6.0
254,27.0,1.0,2.0,1.0,2.0,2.0833333333333335,177.8,83.91458845000001,172.72,15.0,30.0,30.0,11.33980925,29.48350405,60.2,67.8,72.0,21.31884139,20.86524902,165.56121505000002,26.5,0.17875318555530612,1.3513513513513513,1.135135135135135,0.0,1.0
255,32.0,1.0,7.0,7.0,3.0,6.666666666666667,178.9938,69.39963261,182.372,14.0,18.0,27.0,18.143694800000002,34.926612490000004,60.0,118.2,177.0,22.135307656000002,21.228122916,121.10916279,21.7,0.201730174548254,1.5032679738562091,1.2614379084967322,15.0,8.0
256,26.0,2.0,1.0,1.0,2.0,1.6666666666666667,161.29,43.09127515,160.78199999999998,4.0,15.0,7.0,0.0,6.80388555,36.0,52.4,90.6,10.069750614000002,9.344002822,60.781377580000004,16.6,0.09282621565679056,1.1578947368421053,1.0,3.0,1.0
257,47.0,1.0,6.0,3.0,2.0,1.0,167.64000000000001,73.02837157,177.8,11.0,28.0,28.0,9.071847400000001,22.6796185,56.0,106.4,175.0,20.411656650000005,20.411656650000005,110.67653828,26.0,0.15062639031264927,1.3105590062111803,1.124223602484472,5.0,0.0
258,29.0,1.0,4.0,1.0,4.0,1.25,185.42000000000002,79.37866475,195.58,18.0,40.0,30.0,27.578416096000005,31.751465900000003,80.0,72.6,99.2,22.407463078,22.588900026,145.1495584,23.1,0.22676118396158837,1.4,1.351994970479899,5.0,5.0
259,29.0,1.0,4.0,1.0,4.0,1.25,185.42000000000002,79.37866475,195.58,18.0,40.0,30.0,27.578416096000005,31.751465900000003,80.0,72.6,99.2,22.407463078,22.588900026,145.1495584,23.1,0.22676118396158837,1.4,1.351994970479899,5.0,5.0
260,28.0,1.0,2.0,1.0,2.0,2.5,177.8,68.0388555,177.8,27.0,36.0,32.0,36.287389600000004,68.94604024,84.0,56.2,67.6,20.41165665,20.41165665,115.484617402,21.5,0.39683207193277964,2.0133333333333336,1.5333333333333332,0.0,5.0
261,36.0,1.0,8.0,1.0,2.0,1.6666666666666667,170.18,66.67807839000001,175.26,20.0,40.0,34.0,15.875732950000002,22.6796185,90.0,126.0,192.6,19.595190384000002,19.595190384000002,107.410673216,23.0,0.299948656033847,1.3401360544217686,1.2380952380952381,5.0,1.0
