sex,height,weight,exp,max_boulder,max_sport,days,maxhang,pullup,weightedpull
Male,180,70,2,V4,7c,8,0,5,0
Male,178,72.5,3,V7,7a+,12,0,35,35
Female,159.38,51.7095,1,V6,6c,12,0,5,0
Male,179,87,8,V2,0,12,0,10,0
Male,166,53,3,V6,0,12,0,10,0
Male,182,65,11,V10,7b,4,0,20,0
Male,182.88,72.5748,4,V6,7b,12,0,12,20
Male,168,65,4,V6,6c,12,0,15,0
Male,176,81,15,V12,8b,12,50,15,30
Female,165,53.5,8,V6,7b,8,12.5,12,15
Male,170,59,1,V6,0,12,0,20,0
Male,191,89,1,V6,7a,12,0,13,0
Male,188,75,15,V8,7c+,16,18,16,20
Female,178,66,1,V5,7a+,24,0,4,0
Male,185,72.5,3,V5,7a,12,16,15,9
Male,179,69,11,V8,8a+,8,0,0,0
Male,183,69,15,V6,8a+,8,17,15,0
Male,184,68,15,V10,8b,12,0,20,0
Male,180,79,6,V9,0,12,0,20,25
Male,183,70,7,V9,7c,12,54,20,27
Male,182,77,11,V13,8a,12,0,0,0
Male,178,65,3,V7,7b,12,0,12,0
Male,179,68,5,V0,7c+,16,0,7,0
Male,177,73,14,V12,8a+,16,30,20,40
Female,167,70,8,V6,7b,20,0,0,17
Male,183,73,4,V5,7c,4,0,20,40
Male,178,66,15,V6,7b+,12,0,10,0
Male,173,67,4,V6,7b,12,0,15,0
Male,176,70,15,V9,8a,12,20,15,25
Male,176,68,10,V6,7b+,8,0,0,0
Male,180,63,4,V10,0,0,0,8,0
Female,159,52,7,V6,7a+,12,0,7,0
Male,177,58.5,10,V10,7c+,20,28,28,30
Male,188,77,10,V7,7b+,12,30,14,0
Male,175,62,9,V11,8a+,12,0,0,0
Male,173,72,15,V7,8b+,12,0,20,0
Male,193,88,15,V5,7a,12,0,11,0
Male,188,84,3,V8,7a+,16,30,25,30
Male,184,76,2,V6,7a,12,0,15,0
Female,170,55,1,V4,6b,12,0,8,8
Male,175,68,15,V5,7a,4,0,20,0
Male,167,61,2,V9,7b+,8,0,0,0
Male,178,61,6,V10,8a,12,0,24,0
Male,174,64.5,1,V3,0,8,0,0,0
Female,162.5,53,12,V10,0,12,20,5,0
Male,179,74,3,V6,0,4,0,15,0
Male,177,79,1,V3,0,4,0,10,0
Male,172.7,71.67,2,V4,0,12,0,0,0
Male,189,74,8,V12,8b+,20,35,25,25
Female,159,53,11,V7,7a+,8,0,12,0
Male,181,71,8,V9,8a,20,0,22,0
Male,175,57,3,V7,7a,12,0,13,0
Male,174,57,6,V12,0,16,40,35,45
Male,183,76,7,V3,7b,12,0,30,0
Male,180,70,5,V6,4c,12,0,0,0
Male,180,68,3,V10,0,12,64,15,30
Male,173,77,10,V7,7c,16,32,16,25
Male,187,78,0,V4,6b,8,0,0,0
Male,184,76,1,V7,7b,12,0,23,0
Male,178,70,3,V4,7b+,12,23,0,23
Male,189,80,3,V7,0,16,38,20,34
Female,162,56,9,V10,0,16,30,0,20
Male,177.8,65.7,1,V6,7b,12,0,10,0
Female,188,92,4,V5,0,16,0,15,18
Male,180,62,1,V4,7b,16,0,15,0
Female,167.5,58,1,V4,7a+,16,0,3,0
Male,170,61.2,5,V10,7b+,4,0,15,25
Male,190.5,68.7,8,V11,8a,12,0,30,0
Male,178,59,5,V8,0,8,0,0,0
Male,183,77,1,V4,7a,16,0,0,0
Male,179,70.3,1,V3,6b,12,0,8,0
Male,180,67,1,V4,0,8,0,0,0
Female,162,53,0,V2,4c,16,0,8,0
Female,170,54,1,V3,7a,12,0,10,0
Male,168,68,2,V3,6c,20,0,0,0
Male,187.96,74.8,5,V9,7c+,20,0,25,0
Male,188,75,6,V10,8b,16,32,0,0
Male,177,66,5,V0,7c,12,0,18,0
Male,168,63,3,V7,7a+,12,0,17,30
Male,193,81.6466,1,V4,6b+,12,0,5,0
Male,172,72,3,V5,7a,8,0,0,0
Male,181,72,3,V9,8a,8,0,25,27
Female,170,58,14,V9,7b+,16,0,12,0
Male,172,70,2,V5,7b,4,0,20,0
Male,186,74,3,V9,0,16,0,15,0
Male,183,80,1,V4,6c,4,0,15,0
Male,182,79,4,V6,7a+,8,0,10,0
Male,178,55,1,V5,0,4,0,15,50
Male,177.8,60,6,V7,0,12,0,15,0
Male,175,61,1,V8,7a+,16,0,15,0
Male,177,81.5,1,V6,6c,12,0,6,0
Female,155,47,2,V4,0,4,0,12,0
Male,187,85,1,V4,8a,8,0,15,0
Male,183,70,3,V8,7a+,12,30,18,20
Male,178,63,13,V11,8a+,12,45,24,35
Female,156,42,2,V0,5c,8,0,0,0
Male,165,63,4,V10,7b,16,43,0,0
Male,177,70,0,V2,6b,4,0,8,0
Male,178,79.8,3,V6,6b+,12,0,0,0
Male,177.8,59.87419284,1,V9,7c,20,0,0,0
Male,194,86,1,V6,6c,12,0,25,0
Male,172,61,4,V10,0,16,16,22,24
Male,178,73.4,1,V6,0,12,0,15,15
Male,175,68,7,V6,7b,8,32,15,25
Male,190.5,78,3,V7,7b,16,0,15,12
Male,187.96,77.1,3,V9,7c+,12,20.14,25,41
Male,184,75,4,V6,6c,8,0,15,50
Male,178,79,1,V6,7b,12,0,17,15
Female,170,51,5,V7,7c+,8,0,15,0
Male,182,83.6,1,V6,0,12,0,6,0
Male,165,68,15,V13,8c,12,0,10,0
Male,177,71,1,V5,0,12,0,15,0
Male,183,80,2,V7,7b+,8,0,15,40
Male,183,70,1,V7,7b,12,0,18,0
Female,178,61,1,V3,6a,12,0,3,0
Male,180,74.8,8,V10,8b,16,0,15,0
Male,175,72,0,V0,7b+,12,0,18,27
Male,168,59,0,V7,6c,8,9,12,5
Female,162,60,1,V4,6c,16,0,0,0
Male,172,72,4,V7,0,16,35,20,35
Male,178,77,5,V7,7c,12,0,15,0
Male,178,81,4,V6,6b+,8,0,10,0
Female,152,54,2,V2,0,4,0,0,0
Female,160,54.4,1,V4,7a,8,0,4,0
Male,196,93,0,V6,7a+,12,0,2,0
Female,160,56,2,V4,6b,8,0,5,0
Male,187.96,77.5643,7,V7,8a,8,9,18,25
Male,185,66,6,V10,7c,16,0,30,0
Male,184,59,4,V4,6a,4,0,4,0
Male,189,70,2,V7,7b,20,0,0,0
Male,178,81.6,1,V5,0,8,0,18,40
Male,175,58,2,V8,7b+,16,20,0,25
Male,178,66,6,V8,7a+,12,0,20,0
Male,169,79,1,V4,5c,12,0,28,75
Male,185,70.3,2,V7,6c,12,0,20,20
Female,165,61,1,V4,6a,12,0,4,0
Male,179,73,0,V4,6b+,8,0,18,0
Male,180,72.5,2,V8,7b,20,0,25,0
Male,178,68,2,V9,7a,8,0,25,15
Female,158,54,3,V0,6a,8,0,0,0
Male,183,81,7,V10,8a,12,0,0,0
Male,183,86,4,V7,6b+,12,86,13,95
Male,170,85,1,V2,7a,8,0,8,0
Male,185,78,1,V7,7a+,8,0,12,0
Male,185,78,1,V7,7a+,8,0,12,0
Male,180,81.65,2,V7,7b,12,50,8,0
Male,178,74.5,11,V7,7b,12,5,0,24
Male,178,82,1,V5,6a,8,0,0,0
Male,176,76,1,V6,6c,12,0,0,0
Male,183,79,4,V9,7c,20,36,19,34
Male,167,74,1,V6,0,8,0,0,0
Male,182.9,80,4,V8,7c,12,0,20,35
Male,183,80,11,V9,0,8,0,35,40
Male,180,92,1,V5,6a,8,0,8,8
Female,165,53.5,2,V6,7b,16,0,15,0
Male,180,70,6,V9,8b,20,35,25,40
Male,192,89,2,V6,7a,12,0,12,0
Male,177.5,72.5,1,V5,6a,12,0,20,21
Female,169,57,1,V3,5b,8,0,4,0
Male,171,68,1,V8,0,12,0,0,0
Male,180,74.8,12,V7,8a,12,43,0,45
Male,174,68,2,V8,7a+,16,0,0,0
Male,194,80,0,V3,5a,16,0,12,0
Male,183,98,5,V4,7a+,12,0,9,0
Male,160,64.41,5,V7,0,8,0,30,0
Male,179,68,7,V6,7b+,12,0,12,0
Male,186,78,9,V8,7c,8,0,12,0
Male,171,65,1,V3,5c,12,0,20,28
Male,172,61,1,V8,7b,16,36,35,45
Male,183,79,5,V9,0,16,45,20,40
Male,162,56,1,V5,6b,12,0,12,0
Male,182,83,9,V14,0,16,40,30,80
Female,178,64,1,V6,0,12,0,9,0
Male,177,64,4,V10,8a+,20,67,30,50
Male,175,66,1,V5,0,12,0,10,0
Female,162.5,61,3,V9,4a,16,30,12,13
Female,163,55,0,V6,7a+,20,0,0,0
Male,177,74,7,V10,8a,12,39,25,27
Male,185,74,2,V6,7b,8,0,0,0
Male,180,78,14,V10,7c+,16,52.5,30,57
Male,177.5,72,10,V6,7b+,12,0,0,0
Male,178,72,0,V4,0,12,0,0,0
Male,172,57,1,V6,7b,12,0,0,0
Male,180,82,3,V6,7a+,4,0,10,0
Male,185,88.45,10,V9,4a,12,27.21,20,60
Male,174,75,2,V5,7a+,12,0,12,0
Male,183,85,2,V5,6c,12,1,0,0
Male,176,68,2,V8,0,8,0,0,0
Male,180,64,4,V0,8a,16,46,0,0
Male,171,59,1,V7,7c+,12,0,0,0
Male,180,70,8,V11,8b+,16,57,28,35
Male,179,72,2,V6,7a,20,0,0,35
Male,172,88,10,V8,0,12,45,12,0
Male,180,70,8,V9,7c+,16,58,0,0
Male,173,64,10,V12,0,28,60,37,50
Male,178,68,10,V0,8b,16,36,0,25
Male,162,53,2,V5,6c,8,0,20,0
Male,173,63,7,V13,0,16,0,25,75
Male,185,100,2,V5,5c,8,0,20,30
Male,185,65,2,V7,7c,8,0,6,0
