mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.2900881767272949,0.028475526184356212,0.0014544010162353515,0.0002553854261422425,0.01,,1,6,500,"{'learning_rate': 0.01, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 500}",0.4877721074971286,0.5877513993406802,0.5208879943036406,-0.33766968951042764,0.19574917414641602,0.29089819715548754,0.34173890376727545,401
0.06059155464172363,0.002685193358088997,0.0008734226226806641,5.9322950377241814e-05,0.01,,2,2,100,"{'learning_rate': 0.01, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.44577448709008194,0.5210372577660067,0.4598400054275661,0.21695272444889557,0.17992926015872335,0.3647067469782548,0.1385896928073153,326
0.11376304626464843,0.012123386493400947,0.0010104179382324219,7.573489163830672e-05,0.01,,2,2,200,"{'learning_rate': 0.01, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.5386978978403505,0.5885783713784264,0.4284045049570021,0.13764116534657833,0.16072670414810886,0.3708097287340932,0.18837687409263715,286
0.22397656440734864,0.06701884186941376,0.0012485504150390625,0.00020808642544076247,0.01,,2,2,300,"{'learning_rate': 0.01, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",0.5654899508300518,0.6080884945643829,0.40247842443185733,0.11637525309512231,0.14976608192086494,0.3684396409684559,0.20433972569549952,295
0.2919747829437256,0.0192090796435377,0.0014626502990722657,0.00013272010018895654,0.01,,2,2,500,"{'learning_rate': 0.01, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",0.5799404287351753,0.6200263016611838,0.3959033790640166,0.09986732605883153,0.14141323851366816,0.36743013480657505,0.215615244455797,318
0.05442938804626465,0.0025779401179729725,0.0008265972137451172,4.666991160451617e-05,0.01,,2,4,100,"{'learning_rate': 0.01, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 100}",0.44577448709008194,0.5210372577660067,0.4598400054275661,0.21695272444889557,0.17992926015872335,0.3647067469782548,0.1385896928073153,326
0.10693106651306153,0.002801669383870522,0.0009195804595947266,3.924778260010703e-05,0.01,,2,4,200,"{'learning_rate': 0.01, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 200}",0.5386978978403505,0.5885783713784264,0.4284045049570021,0.13764116534657833,0.16072670414810886,0.3708097287340932,0.18837687409263715,286
0.16297717094421388,0.004567052810757138,0.0011247158050537109,0.00014421731542481965,0.01,,2,4,300,"{'learning_rate': 0.01, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 300}",0.5654899508300518,0.6080884945643829,0.40247842443185733,0.11637525309512231,0.14976608192086494,0.3684396409684559,0.20433972569549952,295
0.28815250396728515,0.01926467006427139,0.001418304443359375,9.558133931257662e-05,0.01,,2,4,500,"{'learning_rate': 0.01, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 500}",0.5799404287351753,0.6200263016611838,0.3959033790640166,0.09986732605883153,0.14141323851366816,0.36743013480657505,0.215615244455797,318
0.052359724044799806,0.0025111123914283197,0.0008502006530761719,7.868708935225487e-05,0.01,,2,6,100,"{'learning_rate': 0.01, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 100}",0.44375826846948796,0.4934661717509795,0.4812673560960258,0.207605904249068,0.21558092919166139,0.36833572595144454,0.1290487078514073,300
